id,naziv,opis,cena,kategorija_id
41,Ječmenova kaša,Zrna ječmena za juhe in priloge,1.99,1
42,Riževa kaša,Lomljena riževa zrna za sladice,1.79,1
43,Bulgur,Drobljena pšenica za solate,2.10,1
44,Kuskus,Hitra priprava iz drobljene pšenice,2.50,1
45,Polnozrnati kuskus,Več vlaknin iz polnozrnate pšenice,2.79,1
46,Ajdova kaša,Klasična slovenska ajda,2.29,1
47,Paradižnikova omaka,Osnova za testenine,2.30,2
48,Bolognese omaka,S paradižnikom in mletim mesom,3.19,2
49,Carbonara omaka,Kremna s slanino in jajci,3.49,2
50,Pečena zelenjavna omaka,Iz paprike bučk in paradižnika,3.20,2
51,Česnova omaka,Močna aroma svežega česna,2.99,2
52,Pekoča čili omaka,Za ljubitelje pikantnega,2.89,2
53,Alfredo omaka,Smetana in parmezan,3.59,2
54,Špinačna omaka,Smetanova s špinačo,3.49,2
55,Beljakovinska omaka,Obogatena s proteini,4.19,2
56,Sirna omaka,Mešanica topljenih sirov,3.69,2
57,Pesto Genovese,Bazilika pinjole oljčno olje,4.10,2
58,Pesto Rosso,Sušeni paradižniki in pinjole,4.20,2
59,Gorgonzola omaka,Kremna z modrim sirom,3.99,2
60,Tržaška omaka,Česen peteršilj oljčno olje,2.59,2
61,Parmezan v prahu,Klasika za testenine,2.79,2
62,Nariban sir Grana Padano,Vakuumsko pakiran za testenine,3.49,2
63,Sir Pecorino,Ovčji sir močan okus,3.99,2
64,Posušeni paradižniki,Odličen dodatek k omakam,2.40,2
65,Oljčno olje ekstra deviško,Hladno stiskano visoke kakovosti,5.99,2
66,Bazilika sveža,Aromatično zelišče,1.49,2
67,Svež peteršilj,Klasično kuhinjsko zelišče,1.19,2
68,Mlet česen,Priročen za hitro uporabo,1.79,2
69,Suh čili v kosmičih,Pikanten dodatek jedem,1.99,2
70,Začimbna mešanica za testenine,Origano bazilika timijan,2.10,2
71,Solni cvet,Fina sol za končno dodelavo,2.30,2
72,Poper v zrnu,Sveže mlet intenzivna aroma,1.99,2
73,Čebulni prašek,Močna aroma pri kuhanju,1.69,2
74,Rdeča paprika v prahu,Sladka mleta za barvo in okus,1.59,2
75,Beljakovinska mešanica,Za višji delež proteina,2.60,2
76,Suhi kvas,Zadost za kruh in testo,0.99,2
77,Sir Cheddar,Nariban za kremne omake,3.29,2
78,Maslo,Mlečna maščoba za kuhanje,2.49,2
79,Smetana za kuhanje,Tekoča za kremne jedi,1.79,2
80,Inčuni v olju,Močan morski okus,3.90,2
81,Kapre,Rahlokisel dodatek,2.69,2
82,Oljke črne,Dodatek solatam in omakam,2.10,2
83,Oljke zelene,Polnjene z mandlji,2.20,2
84,Balzamični kis,Sladko-kisel preliv,3.49,2
85,Sveže testeninsko testo,Osnova za raviole in rezance,3.99,2
86,Feta sir,Grški ovčji-kozji sir,2.99,2
87,Sušeni origano,Sredozemska klasika,1.49,2
88,Timijan,Rahla grenka nota,1.39,2
89,Rožmarin,Močna aroma za pečenje,1.59,2
90,Trikolorna paprika v prahu,Mešanica treh paprik,1.69,2
91,Lazanja Bolognese,Pripravljena z govejim mesom,4.99,3
92,Lazanja Vegetariana,Z bučkami špinačo in paradižnikom,4.69,3
93,Tagliatelle s tartufi,Tartufina omaka gurmanska,7.99,3
94,Špageti alla Puttanesca,Oljke kapre in paradižnik,5.49,3
95,Špageti Carbonara,Jajčna smetanova omaka in slanina,5.99,3
96,Kaneloni s špinačo,Ricotta in špinača,4.99,3
97,Kaneloni z mesom,Nadevani z mletim mesom,5.29,3
98,Krompirjevi njoki z golažem,Omaka iz govejega golaža,6.49,3
99,Ravioli z rikoto in špinačo,Polnjeni s smetanovo omako,5.10,3
100,Ravioli s sirom,Polnjeni z mešanico sirov,5.00,3
101,Riževa lazanja,Namesto testa uporabljen riž,4.79,3
102,Gratinirani rezanci,Pečeni z bešamelom in sirom,5.69,3
103,Pirini polpeti v omaki,Polpeti iz pire in zelenjave,4.59,3
104,Makaroni s 4 siri,Kremna sirna omaka,5.39,3
105,Rižota z morskimi sadeži,Z lignji in škampi,6.19,3
106,Rižota z gobami,Mešanica gozdnih gob in riža,5.79,3
107,Mehiški riž,Začinjen s fižolom in koruzo,4.99,3
108,Polnjene paprike,S paradižnikovo omako in mesom,5.49,3
109,Polnjeni bučkini zvitki,Nadev iz riža in zelenjave,5.19,3
110,Musaka,Krompir meso jajčevci,6.49,3
111,Špageti z morsko omako,Morski sadeži v paradižniku,5.99,3
112,Penne z zelenjavno omako,Iz bučk in špinače,5.29,3
113,Fusilli s tuno,Kosi tune v paradižniku,4.99,3
114,Testeninski narastek,Barvne testenine s sirom,5.59,3
115,Tortelini s šunko,Smetanova omaka pripravljeni hitro,5.09,3
116,Tortelini s sirom,V lahki smetanovi omaki,4.89,3
117,Solatni miks s testeninami,Hladna solata z zelenjavo,3.99,3
118,Ravioli z bučo,Polnjeni bučni pire v maslu,5.49,3
119,Polnozrnati špageti z bučkino omako,Pripravljen zdrav obrok,5.69,3
120,Brezglutenski rezanci z ragujem,Mesni ragu za celiakaše,6.19,3
121,Špageti aglio e olio,Oljčno olje in česen,4.59,3
122,Pečena polenta z ragujem,Kosi polente z mesno omako,5.29,3
123,Zelenjavni kuskus,Orientalske začimbe in zelenjava,4.39,3
124,Ajdova kaša z gobami,Že kuhana z gozdnimi gobami,4.89,3
125,Bulgur z zelenjavo,Hitra enolončnica z bučkami,4.59,3
126,Kus-kus s piščancem,Začinjena jed s piščancem,5.19,3
127,Burek s sirom,Hrustljavo testo nadevano s sirom,2.99,3
128,Burek z mesom,Priljubljen prigrizek za pogrevanje,3.49,3
129,Gratinirane bučke,Polnjene meso in sir,5.59,3
130,Golaž z njoki,Goveji golaž s krompirjevimi njoki,6.49,3
131,Svinjski ragu z rezanci,Počasi kuhana svinjina,5.99,3
132,Pečeni ravioli,Nadevani s sirom in špinačo,5.49,3
133,Pirini svaljki,Svaljki iz pire v paradižnikovi omaki,4.89,3
134,Jota,Zelje fižol krompir,5.29,3
135,Kisla repa s klobaso,Kuhana jed za hitro kosilo,4.99,3
136,Obara z ajdovimi žganci,Slovenska klasika z žganci,5.79,3
137,Rižota z bučo,Kremna muškatna buča,5.49,3
138,Puranji paprikaš,Puranje meso v omaki iz paprike,5.99,3
139,Testenine alla Norma,Jajčevci paradižnik ricotta,5.59,3
140,Testenine z lososom,Kremna omaka z dimljenim lososom,6.69,3
141,Polnjeni lignji,Nadevani z drobtinami in zelišči,7.49,3
142,Testenine Primavera,Pomladna zelenjava v paradižniku,5.29,3
143,Pilav z zelenjavo,Riž in mešana zelenjava,4.99,3
144,Pizza margherita,Klasična zamrznjena pica,3.99,3
145,Pizza s šunko,Zapečena s šunko in sirom,4.49,3
146,Pica s tuno,Tuna in čebula,4.69,3
147,Penne v gorgonzola omaki,Modri sir zelo kremno,5.29,3
148,Gratiniran krompir,Krompir in sir zapečeno,3.99,3
149,Krompirjev golaž,Enolončnica s klobaso,4.59,3
150,Prebranec,Fižol in čebula pikantno,3.99,3
